Group,Series,Metric,Q1 '24,Q2 '24,Q3 '24,Q4 '24,Q1 '25,Q2 '25,Q3 '25,Q4 '25,Q1 '26,Q2 '26,Q3 '26,Q4 '26
Value Retail,Dollar General (SSS),Same-store sales,2.4,0.5,1.3,1.2,2.4,2.8,2.5,4.3,2.0,3.5,,
Value Retail,Dollar Tree (SSS),"Same-store net sales, Dollar Tree segment",1.7,1.3,1.8,2.0,5.4,6.5,4.2,5.0,3.5,3.7,,
Autos,CarMax (Used Unit Comps),Comparable store used unit sales,0.1,-3.8,4.3,4.3,5.1,8.1,-6.3,-9.0,-1.9,-0.8,,
Grocery,"Whole Foods (Revenue, cc)","Amazon Physical stores net sales, ex-FX",6.0,4.0,5.0,8.0,6.0,7.0,7.0,5.0,4.0,4.0,,
Grocery,"Albertsons (SSS, Ex. Fuel)",Identical sales,1.0,1.4,2.5,2.0,2.3,2.8,2.2,2.4,0.7,-0.8,,
Grocery,"Kroger (SSS, Ex. Fuel)",Identical sales without fuel,-0.8,0.5,1.2,2.3,2.4,3.2,3.4,2.6,2.4,1.0,,
Restaurants,McDonald's (SSS),Global comparable sales,1.9,-1.0,-1.5,0.4,-1.0,3.8,3.6,5.7,3.8,1.3,,
Restaurants,Starbucks (SSS),Global comparable store sales,-4.0,-3.0,-7.0,-4.0,-1.0,-2.0,-1.0,4.0,6.2,7.9,,
Restaurants,Toast (GPV),Gross Payment Volume,30.0,26.0,24.0,25.0,22.0,23.0,24.0,22.0,22.0,22.0,,
Restaurants,Chipotle (SSS),Comparable restaurant sales,7.0,11.1,6.0,5.4,0.4,4.0,0.3,2.5,0.5,2.2,,
Restaurants,Darden (SSS),Consolidated same-restaurant sales,-1.0,0.0,-1.1,2.4,0.7,4.6,4.7,4.3,4.2,4.6,,
Card Credit Quality,Capital One (Card Net Charge-Off Rate),Credit Card net charge-off rate,5.9,6.0,5.6,6.02,6.14,5.2,4.61,4.91,5.05,4.71,,
Card Credit Quality,Capital One (Card 30+ Day Delinquency),Credit Card 30+ day delinquency rate,4.5,4.17,4.54,4.54,4.27,3.56,3.84,3.94,3.67,3.37,,
Card Credit Quality,Synchrony (Net Charge-Off Rate),Net charge-off rate,6.31,6.42,6.06,6.45,6.38,5.7,5.16,5.37,5.42,4.7,,
Card Credit Quality,American Express (Net Write-Off Rate),"Net write-off rate, principal only",2.1,2.1,1.9,1.9,2.1,2.0,1.9,2.1,2.0,2.0,,
,Average,,8.04,7.41,7.39,8.63,7.11,8.47,9.0,9.62,10.32,10.15,,
,Median,,6.12,6.0,6.15,7.46,5.3,7.12,6.5,5.95,8.84,8.75,,
